type,1,2,3,4,5,6,7,8,9,10
normal,8.112479e-10,2.0607642e-13,4.5939937e-15,2.6641405e-22,2.1623222e-08,1.8945642e-05,1.7840011e-05,0.26624376,4.1643965e-14,0.09909096
attack,0.0,0.9744176,0.9999969,0.19676545,2.031896e-22,1.0,0.0,0.0,0.0,0.9999876
attack,0.0,0.0,1.6108621e-28,1.0,1.0,1.0,0.99999905,0.0,0.9999854,0.0
normal,0.0,5.3454495e-32,4.550917e-35,0.0,0.0,0.0,0.0,0.0,8.8326205e-37,0.0
normal,0.0,0.0,0.0,0.0,0.0,1.2820546e-20,0.0,0.0,2.6610637e-29,2.2094754e-30
normal,0.0,0.0,2.5055446e-31,0.0,0.0,0.0,0.0,0.0,1.15833875e-32,0.0
normal,0.0,1.2308919e-26,0.0,0.0,0.0,0.0,4.234654e-31,0.0,0.0,0.0
normal,0.0,0.0,0.0,0.0,1.400764e-36,0.0,0.0,0.0,0.0,0.0
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,3.6243895e-29,1.8064946e-12,2.5584146e-16,9.980871e-23,4.2871164e-07,1.6894704e-28,1.4100824e-07,0.9835848,4.9695407e-25,1.27521136e-20
attack,3.268601e-27,1.0,0.9999996,0.0,0.99999964,0.0,0.0,6.9414833e-37,0.9999461,0.07684967
normal,0.0,2.236295e-31,0.0,0.0,1.1580095e-36,0.0,0.0,0.0,0.0,0.0
normal,0.0,4.744361e-31,4.10447e-27,0.0,0.0,0.0,2.5793042e-33,1.1561289e-29,0.0,2.4689427e-29
attack,0.0,0.999999,1.4522953e-24,1.0,7.7067707e-22,1.0,4.0053887e-25,0.9999919,1.0,2.1513231e-22
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,2.5484591e-24,0.0,0.0,1.63321e-37,0.0,8.535016e-36,0.0,0.0,0.0,3.1557595e-26
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59792e-29,0.0
normal,0.0,5.8838073e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.015552e-38,0.0
normal,0.0,0.0,1.3139211e-34,0.0,1.253685e-27,0.0,9.688776e-25,2.4151564e-10,1.2183516e-29,8.372789e-33
